local_time,Rüdersdorf bei Berlin,Strausberg,Erkner,Grünheide (Mark),Kiel,Ingolstadt,Kassel,Bocholt,Zwickau
2011-01-01 01:00:00+01:00,0.67,0.57,0.535,0.537,0.938,0.036,0.328,0.221,0.55
2011-01-01 02:00:00+01:00,0.713,0.621,0.567,0.572,0.943,0.055,0.328,0.237,0.599
2011-01-01 03:00:00+01:00,0.771,0.681,0.625,0.63,0.936,0.083,0.355,0.262,0.605
2011-01-01 04:00:00+01:00,0.809,0.722,0.668,0.673,0.92,0.112,0.409,0.267,0.586
2011-01-01 05:00:00+01:00,0.845,0.76,0.714,0.715,0.917,0.135,0.505,0.281,0.615
2011-01-01 06:00:00+01:00,0.86,0.773,0.735,0.734,0.929,0.147,0.489,0.308,0.636
2011-01-01 07:00:00+01:00,0.873,0.779,0.755,0.752,0.935,0.152,0.529,0.328,0.662
2011-01-01 08:00:00+01:00,0.869,0.768,0.759,0.75,0.935,0.159,0.491,0.334,0.677
2011-01-01 09:00:00+01:00,0.847,0.741,0.738,0.735,0.92,0.147,0.471,0.296,0.715
2011-01-01 10:00:00+01:00,0.843,0.738,0.728,0.729,0.891,0.117,0.452,0.253,0.728
2011-01-01 11:00:00+01:00,0.823,0.714,0.703,0.703,0.864,0.111,0.452,0.22,0.73
2011-01-01 12:00:00+01:00,0.806,0.695,0.684,0.687,0.846,0.124,0.415,0.187,0.796
2011-01-01 13:00:00+01:00,0.8,0.684,0.677,0.679,0.828,0.129,0.429,0.162,0.726
2011-01-01 14:00:00+01:00,0.76,0.642,0.635,0.638,0.809,0.127,0.367,0.151,0.66
2011-01-01 15:00:00+01:00,0.711,0.595,0.588,0.591,0.791,0.146,0.335,0.144,0.624
2011-01-01 16:00:00+01:00,0.655,0.542,0.535,0.54,0.744,0.185,0.323,0.148,0.616
2011-01-01 17:00:00+01:00,0.592,0.486,0.479,0.483,0.644,0.213,0.309,0.143,0.605
2011-01-01 18:00:00+01:00,0.561,0.454,0.453,0.458,0.617,0.231,0.297,0.138,0.585
2011-01-01 19:00:00+01:00,0.528,0.416,0.43,0.428,0.632,0.258,0.283,0.125,0.549
2011-01-01 20:00:00+01:00,0.528,0.409,0.433,0.42,0.608,0.256,0.274,0.141,0.548
2011-01-01 21:00:00+01:00,0.49,0.384,0.4,0.394,0.577,0.233,0.283,0.143,0.542
2011-01-01 22:00:00+01:00,0.403,0.318,0.33,0.33,0.553,0.219,0.324,0.159,0.54
