local_time,Rüdersdorf bei Berlin,Strausberg,Erkner,Grünheide (Mark),Kiel,Ingolstadt,Kassel,Bocholt,Zwickau
2011-01-01 01:00:00+01:00,0.553,0.569,0.532,0.535,0.946,0.036,0.203,0.237,0.287
2011-01-01 02:00:00+01:00,0.597,0.622,0.565,0.57,0.95,0.055,0.203,0.253,0.323
2011-01-01 03:00:00+01:00,0.66,0.684,0.625,0.63,0.945,0.083,0.218,0.281,0.327
2011-01-01 04:00:00+01:00,0.704,0.727,0.671,0.676,0.929,0.113,0.255,0.286,0.313
2011-01-01 05:00:00+01:00,0.748,0.766,0.719,0.72,0.926,0.135,0.324,0.301,0.335
2011-01-01 06:00:00+01:00,0.768,0.781,0.742,0.74,0.937,0.148,0.313,0.332,0.351
2011-01-01 07:00:00+01:00,0.786,0.788,0.763,0.759,0.943,0.152,0.343,0.354,0.373
2011-01-01 08:00:00+01:00,0.782,0.775,0.766,0.756,0.943,0.158,0.315,0.361,0.386
2011-01-01 09:00:00+01:00,0.752,0.748,0.744,0.742,0.929,0.144,0.3,0.322,0.422
2011-01-01 10:00:00+01:00,0.746,0.744,0.735,0.736,0.9,0.111,0.288,0.278,0.434
2011-01-01 11:00:00+01:00,0.721,0.72,0.71,0.71,0.873,0.104,0.288,0.243,0.436
2011-01-01 12:00:00+01:00,0.702,0.702,0.69,0.693,0.855,0.117,0.26,0.208,0.511
2011-01-01 13:00:00+01:00,0.693,0.69,0.683,0.685,0.837,0.122,0.27,0.182,0.432
2011-01-01 14:00:00+01:00,0.648,0.646,0.639,0.642,0.817,0.121,0.228,0.169,0.372
2011-01-01 15:00:00+01:00,0.597,0.596,0.591,0.593,0.799,0.143,0.207,0.159,0.343
2011-01-01 16:00:00+01:00,0.54,0.542,0.535,0.539,0.751,0.184,0.199,0.162,0.337
2011-01-01 17:00:00+01:00,0.481,0.483,0.477,0.481,0.646,0.213,0.19,0.156,0.327
2011-01-01 18:00:00+01:00,0.453,0.451,0.451,0.456,0.619,0.231,0.182,0.151,0.313
2011-01-01 19:00:00+01:00,0.423,0.412,0.425,0.423,0.636,0.26,0.173,0.136,0.287
2011-01-01 20:00:00+01:00,0.423,0.405,0.429,0.415,0.61,0.255,0.167,0.155,0.286
2011-01-01 21:00:00+01:00,0.391,0.38,0.395,0.389,0.578,0.231,0.172,0.159,0.283
2011-01-01 22:00:00+01:00,0.318,0.313,0.324,0.324,0.552,0.217,0.199,0.177,0.282
2011-01-01 23:00:00+01:00,0.293,0.278,0.304,0.3,0.495,0.213,0.189,0.209,0.29
2011-01-02 00:00:00+01:00,0.273,0.259,0.287,0.281,0.434,0.194,0.222,0.237,0.281
2011-01-02 01:00:00+01:00,0.235,0.226,0.248,0.245,0.39,0.18,0.213,0.253,0.275
